Survived,PassengerId
0,892
0,893
0,894
1,895
1,896
1,897
1,898
1,899
1,900
0,901
1,902
0,903
1,904
0,905
1,906
1,907
1,908
1,909
1,910
1,911
0,912
0,913
1,914
0,915
1,916
0,917
1,918
1,919
1,920
0,921
0,922
0,923
1,924
1,925
1,926
0,927
1,928
1,929
0,930
1,931
0,932
1,933
0,934
1,935
1,936
0,937
1,938
1,939
1,940
1,941
1,942
1,943
1,944
1,945
1,946
0,947
0,948
0,949
1,950
1,951
0,952
1,953
0,954
1,955
1,956
1,957
1,958
0,959
1,960
1,961
1,962
0,963
1,964
0,965
1,966
1,967
1,968
1,969
1,970
1,971
1,972
0,973
1,974
1,975
1,976
1,977
1,978
1,979
1,980
1,981
1,982
1,983
1,984
1,985
0,986
0,987
1,988
1,989
1,990
0,991
1,992
1,993
1,994
1,995
1,996
0,997
0,998
1,999
1,1000
0,1001
0,1002
1,1003
1,1004
1,1005
1,1006
0,1007
1,1008
1,1009
1,1010
1,1011
1,1012
1,1013
1,1014
0,1015
1,1016
1,1017
1,1018
1,1019
1,1020
0,1021
1,1022
0,1023
1,1024
1,1025
0,1026
0,1027
1,1028
1,1029
1,1030
0,1031
1,1032
1,1033
0,1034
1,1035
1,1036
1,1037
1,1038
0,1039
1,1040
0,1041
1,1042
1,1043
0,1044
1,1045
0,1046
0,1047
1,1048
1,1049
1,1050
1,1051
1,1052
1,1053
1,1054
1,1055
0,1056
1,1057
0,1058
0,1059
1,1060
1,1061
1,1062
1,1063
0,1064
1,1065
0,1066
1,1067
1,1068
1,1069
1,1070
1,1071
1,1072
1,1073
1,1074
1,1075
1,1076
1,1077
1,1078
0,1079
1,1080
0,1081
1,1082
1,1083
0,1084
0,1085
1,1086
0,1087
1,1088
1,1089
0,1090
1,1091
1,1092
1,1093
0,1094
1,1095
0,1096
1,1097
1,1098
0,1099
1,1100
0,1101
1,1102
1,1103
0,1104
1,1105
1,1106
0,1107
1,1108
0,1109
1,1110
1,1111
1,1112
0,1113
1,1114
1,1115
1,1116
1,1117
1,1118
1,1119
0,1120
0,1121
1,1122
1,1123
0,1124
1,1125
0,1126
0,1127
0,1128
1,1129
1,1130
1,1131
1,1132
1,1133
1,1134
1,1135
0,1136
0,1137
1,1138
1,1139
1,1140
1,1141
1,1142
1,1143
1,1144
0,1145
1,1146
1,1147
1,1148
0,1149
1,1150
0,1151
0,1152
0,1153
1,1154
1,1155
1,1156
1,1157
1,1158
1,1159
1,1160
0,1161
0,1162
1,1163
1,1164
1,1165
1,1166
1,1167
1,1168
0,1169
0,1170
0,1171
1,1172
1,1173
1,1174
1,1175
1,1176
0,1177
1,1178
1,1179
1,1180
1,1181
1,1182
1,1183
1,1184
1,1185
0,1186
0,1187
1,1188
0,1189
0,1190
1,1191
1,1192
1,1193
0,1194
0,1195
1,1196
1,1197
1,1198
1,1199
1,1200
0,1201
0,1202
1,1203
1,1204
1,1205
1,1206
1,1207
0,1208
1,1209
1,1210
0,1211
1,1212
0,1213
1,1214
1,1215
1,1216
0,1217
1,1218
0,1219
1,1220
0,1221
1,1222
1,1223
1,1224
1,1225
1,1226
1,1227
1,1228
0,1229
0,1230
1,1231
0,1232
0,1233
0,1234
1,1235
1,1236
1,1237
1,1238
1,1239
0,1240
1,1241
1,1242
0,1243
0,1244
1,1245
1,1246
1,1247
1,1248
1,1249
1,1250
1,1251
0,1252
1,1253
1,1254
1,1255
1,1256
1,1257
1,1258
1,1259
1,1260
1,1261
0,1262
1,1263
0,1264
0,1265
1,1266
1,1267
1,1268
0,1269
0,1270
1,1271
1,1272
1,1273
1,1274
1,1275
1,1276
1,1277
0,1278
0,1279
0,1280
0,1281
1,1282
1,1283
0,1284
0,1285
1,1286
1,1287
0,1288
1,1289
1,1290
0,1291
1,1292
0,1293
1,1294
0,1295
0,1296
1,1297
0,1298
1,1299
1,1300
1,1301
1,1302
1,1303
1,1304
1,1305
1,1306
0,1307
1,1308
1,1309
